cell,lon,lat,range,updated
73194243,-3.6917,40.3166,1005,1760941274
73374722,-3.691,40.2717,1000,1760941273
73399042,-3.6884,40.3275,1035,1760941274
72093188,-3.6692,40.4199,500,1743872462
72909571,-3.7651,40.473,757,1744148104
72349953,-3.6753,40.3601,4335,1760941274
73041666,-3.6858,40.3531,22574,1760941274
72531459,-3.8177,40.4696,5059,1722768735
73323010,-3.6512,40.5219,993,1722768740
72374785,-3.7618,40.4679,1879,1744148104
71786754,-3.759,40.3897,1000,1747682161
71888131,-3.8239,40.3862,1196,1744148105
71718403,-4.1229,40.6919,1190,1722768728
71718408,-4.1231,40.6935,1951,1722768728
73117954,-3.6032,40.5547,1000,1722768782
73808131,-3.635,40.5326,2718,1722768740
72580354,-3.6919,40.3086,500,1760941274
73501442,-3.6767,40.2973,1440,1760941274
71718401,-4.0895,40.681,2479,1722768728
73349123,-3.609,40.543,5083,1722768741
72247553,-3.6877,40.2868,1001,1760941273
73374721,-3.6912,40.2777,1000,1760941273
74087426,-3.7093,40.3862,1000,1752961201
73062913,-3.6151,40.5348,733,1722768740
73528069,-3.6412,40.5346,2621,1722768740
74063880,-3.6969,40.539,1988,1722768737
72704264,-3.6572,40.5102,1000,1722768739
73525506,-3.6444,40.4823,3546,1744148103
71963907,-3.8234,40.3541,11547,1744148106
74164994,-3.646,40.5053,843,1744148103
72093960,-3.6917,40.3847,2700,1732202762
72040962,-3.6795,40.4903,1145,1744632602
72245509,-3.6361,40.4695,4044,1744148102
72704258,-3.657,40.5116,2752,1722768739
72910081,-3.6822,40.5194,666,1744148103
74164995,-3.6562,40.5086,1825,1744148103
72730370,-3.6666,40.5144,1913,1722768739
72704265,-3.6644,40.5107,4353,1722768739
72606722,-3.6478,40.4999,2973,1744148103
72730371,-3.6716,40.5161,1483,1722768739
71963905,-3.8129,40.3597,1262,1744148106
73963777,-3.6709,40.515,500,1744148103
71963906,-3.796,40.3506,3783,1744284001
71963913,-3.8018,40.3577,3603,1744148106
72040965,-3.6824,40.4895,631,1744632602
73525509,-3.6475,40.4819,4223,1744148103
72910082,-3.695,40.5151,984,1744148103
73424131,-3.6537,40.5168,677,1722768739
74114819,-3.6586,40.3704,5738,1760941274
72911108,-3.6723,40.4228,7597,1743872461
72911106,-3.6723,40.4208,500,1743872462
71732740,-3.7135,40.4115,1403,1751031361
73986305,-3.6663,40.364,2800,1760941274
72321281,-3.64,40.4769,500,1744148103
72911109,-3.671,40.4212,584,1743872462
72911105,-3.6728,40.4221,500,1743872462
71788291,-3.6527,40.3737,976,1760941275
71915266,-3.6535,40.3833,1213,1760941274
72755971,-3.6325,40.3915,1245,1760941275
74189571,-3.6378,40.3856,1000,1760941275
72321282,-3.6318,40.4766,1000,1744148102
71788290,-3.6451,40.3786,828,1760941275
73780738,-3.6568,40.3688,636,1760941274
72171779,-3.6034,40.4715,8150,1744148102
72296709,-3.615,40.4162,813,1760941275
72296707,-3.6225,40.409,933,1760941275
72376321,-3.5716,40.4655,1875,1744148102
965387,-3.6531,40.5175,1329,1759562942
71887365,-3.7007,40.4572,500,1745349362
71887364,-3.6999,40.4593,537,1745349362
71697695,-3.6461,40.5281,736,1750108566
211713,-3.7848,40.4738,10492,1722768736
235778,-3.6975,40.4227,500,1730144643
48643093,-3.5268,40.7334,21071,1724442674
13824,-3.6973,40.4269,1000,1722209774
72349954,-3.6773,40.3525,1096,1760941274
72834818,-3.5695,40.4706,4672,1744148102
74090753,-3.5729,40.4691,1000,1744148102
73323011,-3.6509,40.5292,835,1722768739
71697675,-3.6385,40.5326,1000,1760784555
512,-3.6908,40.4669,1023,1749496807
73782785,-3.7185,40.5012,2007,1722768737
73782787,-3.7297,40.4947,1000,1722768736
73192707,-3.5838,40.4549,1592,1760941276
73192705,-3.5775,40.4587,1162,1760941276
74088450,-3.6981,40.4598,1000,1745349362
72761603,-3.612,40.4752,6744,1744148102
72070145,-3.7111,40.4216,5880,1743872462
57355,-3.7235,40.4902,926,1759665902
71864578,-3.6895,40.464,771,1745349361
73966612,-3.4594,40.3054,1000,1736078761
73966622,-3.4655,40.3066,1000,1736078761
71697511,-3.6917,40.4676,1000,1717795743
76811,-3.6976,40.419,1000,1714080786
72515685,-4.0123,40.638,1263,1714080789
72516198,-3.9924,40.6229,1614,1714080789
73969160,-3.8803,40.8896,2040,1721606103
71692554,-3.6255,40.5513,1000,1717523163
72513383,-3.9563,40.5952,1000,1722768731
72522599,-4.0934,40.6627,1665,1714080791
23552,-3.6728,40.406,1000,1759562941
71692808,-4.1123,40.6726,1000,1722768729
71692809,-4.1162,40.678,1000,1722768729
71692807,-4.1017,40.6665,3255,1722768729
1009676,-3.7104,40.445,4009,1722209765
72910089,-3.6929,40.5303,2592,1722768738
16896,-3.6757,40.4235,1000,1760348821
72910083,-3.69,40.5252,1481,1722768738
73323528,-3.6916,40.5373,3804,1722768738
83202,-3.7121,40.4189,500,1728759483
103170,-3.7171,40.4312,1000,1717795754
71732743,-3.7147,40.412,1000,1751031361
71951370,-3.6084,40.5503,2073,1722769030
71692920,-4.0966,40.6634,2510,1722768729
71692922,-4.1157,40.6778,899,1722768729
72511847,-3.9774,40.6103,4109,1722768731
72706663,-3.801,40.4655,1000,1714080794
74011393,-3.8098,40.4623,1000,1722768735
71951390,-3.6199,40.5464,1202,1717523163
71894814,-3.6886,40.4239,1000,1738439101
97557,-3.6905,40.4675,500,1730144644
71718247,-3.7348,40.4491,1313,1717795747
72910088,-3.7042,40.5098,2396,1722768737
71928934,-3.7239,40.4381,1000,1714080786
71894804,-3.6867,40.4249,1000,1738439101
71850526,-3.668,40.5331,2210,1760784561
71850516,-3.6493,40.5248,500,1760784555
71850506,-3.6497,40.5284,1947,1760784560
71684454,-3.7023,40.4576,500,1717795764
74143240,-3.5805,40.438,500,1760941276
71839763,-3.6912,40.4263,1940,1743872462
72374791,-3.7545,40.4759,1656,1744148104
71910922,-3.732,40.3886,1712,1759737962
1626891,-3.6771,40.4335,4308,1730144643
80395,-3.6958,40.4223,6171,1730144643
72511846,-3.9628,40.5993,3028,1722768731
73734174,-3.73,40.4917,850,1760787605
74004490,-3.6912,40.5272,1062,1760784562
